SCREEN_THICKNESS, Result
1.0, 0.0024722858097331163
1.1, 0.0024169218219897127
1.2, 0.002371891619875614
1.3, 0.002334557424808236
1.4, 0.0023031067280772565
1.5, 0.0022762535617147166
1.6, 0.0022530605689288015
1.7, 0.0022328285558869594
1.8, 0.002215025478081172
1.9, 0.002199239385405187
2.0, 0.00218514649007673
2.1, 0.002172489457284973
2.2, 0.0021610642677675398
2.3, 0.0021507182517114865
2.4, 0.0021413682444552506
2.5, 0.0021330557572612585
2.6, 0.002126062865980955
2.7, 0.0021211141897337863
2.8, 0.002119683803702259
2.9, 0.0021244110995530785
3.0, 0.0021396096971777485
3.1, 0.0021718337108469913
3.2, 0.0022304510125909526
3.3, 0.0023281667906035444
3.4, 0.0024814433382646063
3.5, 0.002710772138571312
3.6, 0.0030407691851126024
3.7, 0.0035000810805070172
3.8, 0.004121105198485932
3.9, 0.00493954032439114
4.0, 0.005993793809281217
4.1, 0.007324277223952289
4.2, 0.00897262511953247
4.3, 0.010980871402954229
4.4, 0.013390615719500084
4.5, 0.016242208768810423
4.6, 0.01957398123335583
4.7, 0.023421536413844982
4.8, 0.027817122067291186
4.9, 0.03278909255023711
5.0, 0.038361468319862375
5.1, 0.044553596217915284
5.2, 0.05137991079364636
5.3, 0.05884979422194446
5.4, 0.06696753013370789
5.5, 0.07573234487840758
5.6, 0.08513852835773185
5.7, 0.09517562557389425
5.8, 0.10582868939274137
5.9, 0.1170785846946718
6.0, 0.12890233403786105
6.1, 0.14127349515039855
6.2, 0.15416256096215145
6.3, 0.16753737344569208
6.4, 0.1813635432217991
6.5, 0.19560486766444782
6.6, 0.21022374108048092
6.7, 0.22518155141161084
6.8, 0.24043905878513158
6.9, 0.25595675210297136
7.0, 0.27169518068805026
7.1, 0.28761525878779437
7.2, 0.30367854145596146
7.3, 0.319847470987892
7.4, 0.3360855936659195
7.5, 0.35235774707889356
7.6, 0.3686302187124322
7.7, 0.38487087686655685
7.8, 0.40104927524806533
7.9, 0.417136732810962
8.0, 0.4331063905845617
8.1, 0.4489332473415808
8.2, 0.46459417602353287
8.3, 0.48006792286429184
8.4, 0.4953350911408442
8.5, 0.5103781114387802
8.6, 0.5251812002544356
8.7, 0.5397303086710171
8.8, 0.5540130627467216
8.9, 0.5680186971433829
9.0, 0.581737983407763
9.1, 0.5951631541974853
9.2, 0.6082878246225847
9.3, 0.6211069117536581
9.4, 0.6336165532305972
9.5, 0.6458140257933725
9.6, 0.6576976644491597
9.7, 0.6692667828893535
9.8, 0.6805215956760262
9.9, 0.6914631426305384
10.0, 0.7020932157776271
