q_trigger,result
1.0,0.453864920229
1.1,0.457519842007
1.2,0.461995616336
1.3,0.467344283437
1.4,0.47359286149
1.5,0.480745229045
1.6,0.488784640696
1.7,0.497676649257
1.8,0.507372224197
1.9,0.51781088556
2.0,0.528923709203
2.1,0.540636097699
2.2,0.552870247801
2.3,0.565547277431
2.4,0.578589001275
2.5,0.591919363954
2.6,0.605465553712
2.7,0.61915882836
2.8,0.632935089748
2.9,0.646735244402
3.0,0.660505386951
3.1,0.674196840435
3.2,0.68776608419
3.3,0.701174596087
3.4,0.714388632046
3.5,0.727378961911
3.6,0.740120577341
3.7,0.752592384247
3.8,0.764776889641
3.9,0.776659890462
4.0,0.788230170025
4.1,0.799479206202
4.2,0.810400894139
4.3,0.820991285323
4.4,0.831248344041
4.5,0.841171721614
4.6,0.850762548392
4.7,0.860023243101
4.8,0.868957338934
4.9,0.877569325595
5.0,0.885864506382
